trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-56.835287295214926,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-315.3765890189444,"{0: 7, 1: 0, 2: 6, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-114.12512355313464,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",30,0,-167.36963239090045,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",25,0,-92.34151477327752,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",20,0,-74.72970455796145,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",25,10,-45.3883487782222,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.960693043575437}",25,0,-250.2765159950081,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",20,0,-45.41761310462501,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-52.848893456183866,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-123.20630942127394,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-103.21604772742636,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",35,0,-149.2842135804834,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
