trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,10,-66.68446961866296,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.47561317339101,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.47160779501252,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-111.68907729237462,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.30628261317652,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.31343436868525,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,1,-81.99966052754586,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.9922533274675,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.34744754516623,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.31878537860098,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.53332463931475,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.4523151172318,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.2668129325668,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.65381432981166,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.54481544209895,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.92938136062878,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.38244687420722,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.34300069995467,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.79839291608363,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.64765908627456,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.1187597069552,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.17399557066287,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-222.21121115463177,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.99993113305864,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,10,-30.85479678213654,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.22312057234433,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.52273967973565,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.16379033099994,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.64592573106064,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,13,-16.88190817236735,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
